,Execution,Infected
0,0,11.861652790277912
1,1,19.808089333197238
2,2,77.59208593933282
3,3,720.9731483903363
4,4,1000.0
5,5,781.8820682187641
6,6,612.7559194798706
7,7,479.6329650741527
8,8,371.43166866353255
9,9,287.28957107792144
10,10,225.66789723189754
11,11,175.84977758178437
12,12,135.22975680084062
13,13,103.59647927608175
14,14,80.0867889755966
15,15,61.45270212325709
16,16,47.60486734262213
17,17,35.87585855227141
18,18,27.330859028281182
19,19,22.020005790058722
20,20,17.56553373990898
21,21,13.72042807978128
22,22,10.429738424091754
23,23,8.136356854000393
24,24,6.3003917310468704
25,25,4.252943292606477
26,26,3.3754933362484274
27,27,2.483021173226548
28,28,1.8998568947400505
29,29,1.4224035325354547
30,30,0.9508126711884668
31,31,0.5349740529719035
