uri,track_name,artist_name,lyrics
spotify:track:2x6pbpjVGjiWCcH89IK8AX,Breaking Up Is Hard to Do,Neil Sedaka,"ou tell me that you're leaving
I can't believe it's true
Girl, there's just no living
Without you
Don't take your love away from me
Don't you leave my heart in misery
Cause if you go then I'll be blue
Breaking up is hard to do
Remember when you held me tight
And you kissed me all through the night
Think of all that we've been through
And breaking up is hard to do
They say that breaking up is hard to do
Now I know, I know that it's true
Don't say that this is the end
Instead of breaking up, I wish that we were making up again
I beg of you, don't say goodbye
Can't we give our love just one more try
Come on baby, let's start anew
Breaking up is hard to do
Breaking up is oh so hard to doYou might also likeEmbed"
spotify:track:2OCoH12t6olzx9bT1PEC8F,Let It Rock - Single Version,Chuck Berry,"I'm a shadow in the night, I be steady sippin’ wine
I be crying all the time you ain't nothing, quit your lying
Black cats in my eyes, succubus on my thighs
I got demons in my mind, reaper ready when I die
Rich little bitch boy, ever looking slick boy
Always acting out cause your daddy is a dick boy
Always dead inside cos you hung up on a chick, boy
Always miss the signs, you ain’t ever make the list boy
Cemetery Drive, yeah I made my own rock band
Everybody waiting for the next thing that we dropping
We did it once, do it twice like it was nothing
We here to stay motherfucker we ain’t bluffing
Public drinkin outta habit, bailed my homie out the county
Swear to God I’m not an addict, I just I keep that powder ‘round me
On my person, yea my version of events be quite different
I ain’t even fucked up, officer I’m light sippin
Lights strobbin, wine open, will I find focus?
Imma weed toker, seed sower, till the beat over
Never be sober… Cemetery Drive
Imma put it in reverse, Revolution #9, yuh
Ain’t no redeemin me, ain’t what I seem to be, mean to be, shit’ll be fine I guess
Ain’t nothin real to me, ‘cept what I’m still to be, kill a beat, even when I’m depressed
Yellin like I’m MC Ride, Exmilitary
Till I’m dead feel me and my pen bleed dry

They wanting more sonnnn (morrison), I feel like Jim boy
Knocking Doors downnnn we coming in boy
Me hoy minoy, why they gotta copy me?
Honestly, bite my lines, put em in some tin foil
Now that's some food for thought, fluctuate my mood a lot
Sitting in the corner wondering who am i?
Sometimes I feel like N.E.R.D. '02 or so
Sometimes I feel like Kurt In Utero
How we go from Iggy Pop and Jimmy Page to Lil Yacht and Iggy Az?
Don't milly rock or hit the quan when I'm on stage
How we go from Chuck Berry to Kate Perry right?
From Wu-Tang to Cemetery Drive, aight
When I get my sweet revenge give it three cheers
When will I see the end? I give it three years
Won't stick around with no reason to be here
Reinvent the wheel off rails you better steer clear
You might also like
Young sticky kid came up on the outside
Young silly wrist all they do is spout lies
I don’t think about the words, I’m all about vibes
I just got a message and ignored it cause my clout high
Really I’m a shitty person, please don’t let it be excused
Every track a greatest hit and still it hardly make the news
I don’t got a lot of love from people who I upward view
So why should I be different, take the time out just to fuck with you
That’s the single instant that I noticed I was incomplete
Cloudy hit me up and told me homie let’s make history
I didn’t even hesitate I knew that shit was meant to be
And now my keys are black and white instead of tapping RGB
We really made a rock band, drumming on our desktops
Put a couple homies in it, ran it like a sweatshop
Killed the game and shut it down, left that shit in deadlock
Way I see it going I won’t have to get a desk job3Embed"
spotify:track:7ItZM6DMZE2m1X7yIaRxjq,C’Mon Everybody,Eddie Cochran,"h well, c'mon everybody and let's get together tonight
I got some money in my jeans and I'm really gonna spend it right
Well, I've been doin' my homework all week long
And now the house is empty and the folks are gone
Hooo! C'mon, everybody!
Ah well, my baby's number one, but I'm gonna dance with three or four
And the house'll be a-shakin' from the bare feet a-slappin' on the floor
Well, when you hear that music you can't sit still
If your brother won't rock then your sister will
Hooo! C'mon, everybody!
Well, we'll really have a party, but we gotta put a guard outside
If my folks come a-home, I'm afraid they're gonna have my hide
There'll be no more movies for a week or two
No more runnin' round with the usual crew
Who cares? C'mon, everybody!
C'mon, everybody
C'mon, everybodyYou might also likeEmbed"
spotify:track:7B2pUwzvlbNG9D855r9ugf,"Walk, Don't Run - Stereo",The Ventures,"""I feel like everybody wants something from me.""
""Yeah tell me about it. It's a cold world out there. Sometimes I think I'm getting a little frosty myself.""

My shell, mechanical found ghost
But my ghetto is animal found toast
My shell, mechanical found ghost
But my ghetto is animal found toast
My shell, mechanical found ghost
But my ghetto is animal found toast
Animal found toast
But my ghetto
Animal
Life's ill, sometimes life might kill
Vordul Mega, five digits grab mics, mic strike type ill
Is life real? Yo akh' he builds
When life feels like Earth don't spin, whirlwinds might blend
Life's at a standstill, dangerous cause man kills
And still cats visualize life ghetto like
One mind, sometime these cats see life
Street life in complete light and be like
I'm a live life after this one crime
One line from the Megalah blow spines
Everyone knows the city's ill, cats kill
Still black man holds nine, Gotta chill star C-A.L.L.A.H
Be the light of Shamar, work hard Shamar C-Cipher-A.L.L.A.H
Adapt bars snatch stars and detach large channels
But our bar's handle might, break mics
Vordul Megalah the cannibal ate mics
Strive, live live
Fuck five, I want a hundred and eight mics

Son, yo son did you see that kid yo?
Yo, yo, Chill out man, chill out
Yo son did you, yo son he pulled it out...""

Five digits cock biddy nine milli
One floor shot silly, spun city one verse hit milly
Little girls spinning curls three sixty, living in a world shitty
Yo they spun young earth, now shitty
NY 5-0 might shoot black head
Nigga sorry I sold space suit to crack head
DTs operate mechanically, po-po in slow-mo
Black kids locked away, add a key
Plus one fourth pound of smoke flow
While lock head Fabian, Ahmed Arabian, laying in
Bodeg holding drama AK, spoke like As-salāmu OK
Choking vodka mixed with OJ
Wig splits mad quick
Spinning three six O wave, C4 blew the door
Number eight, Summer face tank top with a knot
Number nine said run the place
Took my girl stereo, CD, plus the tape
Brooke star, don't wet that, fucked her face lets stuff the place
Jet back to Santa Cruz, Californ-i-a
Peace to C-God locked up, cat born nine ways
Come home mad soon, live ill, life phases
Like little black girl got shot
Damn it hurts when they spun earth filled with knots
Gonna make a difference so we get locked
Caught in the shit and losing what we got
Come on black equals, equals
You might also like""Do you know that you're one of the few predator species
That preys even on itself?""

And if there's crack in a basement

Crack heads stand adjacent
Anger displacement from food stamp arrangements
You were a still born baby, mother didn't want you
But you were still born
Boy meets world, of course his pops is gone, what you figure
That chalky outline on the ground is a father figure?
So he steps to the next stencil, that's a hustler
Infested with money and diamond cluster
Let's talk in layman terms
Rotten apples and big worms, early birds and poachers
New York is evil at its core, so those who have more than them
Prepare to be victims
Ate up by vultures, the politicians
In a dog eat dog culture, that'll sick 'em
Lack of mineral, we take it personal
A pigeon can't drop shit if it never flew
Every day is no frills, empty krills
Broken 40 bottles and MCs with skills
I rest my head on 115
But miracles only happen on 34th, so I guess life is mean
And death is the median
And purgatory is the mode that we settle in (no doubt)
I've got that Eve's Bayou sense of touch
So I fought, to touch every hand of a fan to read their thoughts
Battered wives, molested children
Roaches on the floor, rats in the ceiling
Cats walk around New York with two fillings
One is in their mouth, the other does the killing
I'm Vast Aire, Kramer, top billing
(Yo rest in peace to Big L, 139)18Embed"
spotify:track:1BIGqqQxGV9c45heFmUxLL,That's Where It's At,Sam Cooke,"Lights turned way down low
And music soft and slow
With someone you love so
That's where it's at, yeah
Your world turned upside down
You're making not a sound
No one else around
That's where it's at, yeah
Let me tell you
Your heart beatin' fast
You're knowin' that time will pass
But hopin' that it lasts
That's where it's at, oh yeah
That's where it's at, pretty baby, ha ha
That's where it's at, oh yes it is
That's where it's at, pretty baby, mmm
That's where it's at, oh yeah, oh yeah
And oh yeah, and oh yeah

Let me tell you just one thing
To say it's time to go
And she says ""Yes, I know""
But just stay one minute more
That's where it's at
Oh, let me say it one more time

That's where it's at, pretty baby
That's where it's at, I know that's where it's at
That's where it's at, pretty baby, ha ha
That's where it's atYou might also likeEmbed"
spotify:track:1vGfZYrNSxT72PdgToMubU,Such a Night,Elvis Presley,"It was a night, ooh, what a night
It was, it really was such a night
The moon was bright, oh, how bright
It was, it really was such a night
The night was alight with stars above
Ooh, when she kissed me, I had to fall in love

Oh, it was a kiss, ooh, what a kiss
It was, it really was such a kiss
Oh, how she could kiss, oh, what a kiss
It was, it really was such a kiss
Just the thought of her lips sets me afire
I reminisce and I'm filled with desire
But I gave my heart to her in sweet surrender
How well I remember, I'll always remember

Oh, what a night, ooh, what a night
It was, it really was such a night
Came the dawn and my heart and her love
And the night was gone
But I'll never forget the kiss, the kiss in the moonlight
Ooh, such a kiss, such a night

It was a night, ooh, what a night
It was, it really was such a night
Came the dawn and my heart and her love
And the night was gone
But I'll never forget the kiss, the kiss in the moonlight
How well I remember, I'll always remember

That night, ooh, what a night
It was, it really was such a night
When we kissed, I had to fall in love

But I'd gave my heart to her in sweet surrender
How well I remember, I'll always remember
You might also like
Oh, that night, ooh, what a night
It was, it really was such a night
When we kissed, I had to fall in love

Well, she's gone, gone, gone
Yes, she's gone, gone, gone
Came the dawn, dawn, dawn
And my love was gone
But before that dawn
Yes, before that dawn
And before that dawn
Ooh, ooh, ooh, ah
Such a nightEmbed"
spotify:track:5TcEq6qNQJ7HXeTxwB3ZGB,Walking To New Orleans,Fats Domino,"his time, I'm walkin' to New Orleans
I'm walkin' to New Orleans
I'm goin' to need two pair of shoes
When I get through walkin' these blues
When I get back to New Orleans
I've got my suitcase in my hand
Now, ain't that a sham?
I'm leavin' here today
Yes, I'm goin' back home to stay
Yes, I'm walkin' to New Orleans
You used to be my honey
'Til you spent all my money
No use for you to cry
I'll see you, by and by
Cause I'm walkin' to New Orleans
I've got no time for talkin'
I've got to keep on walkin'
New Orleans is my home
That's the reason while I'm gone
Yes, I'm walkin' to New Orleans
I'm walkin' to New Orleans
I'm walkin' to New Orleans
I'm walkin' to New OrleansYou might also like1Embed"
spotify:track:0V58TmLnChjbNycM9QfFC0,Let It Be Me,The Everly Brothers,"I bless the day I found you
I want to stay around you
And so I beg you, let it be me

Don't take this heaven from one
If you must cling to someone
Now and forever, let it be me

Each time we meet love
I find complete love
Without your sweet love
What would life be?
So never leave me lonely
Tell me you love me only
And that you'll always let it be me

Each time we meet love
I find complete love
Without your sweet love
What would life be?

So never leave me lonely
Tell me you love me only
And that you'll always let it be meYou might also like2Embed"
spotify:track:73m8WuJlhzVusTVzJCGaDZ,Fever,Elvis Presley,"Never know how much I love you
Never knew how much I care
When you put your arms around me
I get a fever that's so hard to bear

You give me fever when you kiss me
Fever when you hold me tight
Fever in the morning
Fever all through the night
Sun lights up the daytime
Moon lights up the night
I light up when you call my name
And you know I'm gonna treat you right

You give me fever when you kiss me
Fever when you hold me tight
Fever in the morning
Fever all through the night
Everybody's got the fever
That is something you all know
Fever isn't such a new thing
Fever started long ago

Romeo loved Juliet
Juliet she felt the same
When he put his arms around her
He said 'Julie, baby, you're my flame
Thou givest fever when we kisseth
Fever with thy flaming youth
Fever I'm on fire
Fever, yeah, I burn forsooth
You might also likeCaptain Smith and Pocahontas
Had a very mad affair
When her daddy tried to kill him
She said 'Daddy-o, don't you dare
He give me fever with his kisses
Fever when he holds me tight
Fever, I'm his misses
Oh daddy, won't you treat him right'

Now you've listened to my story
Here's the point that I have made
Cats were born to give chicks fever
Be it Fahrenheit or centigrade
They give you fever when we kiss you
Fever if you live and learn
Fever till you sizzle
What a lovely way to burn
What a lovely way to burn
What a lovely way to burnEmbed"
